frame,time_s,frame_ms,fps,draw_calls,batches,setpass_calls,triangles,vertices,gc_alloc_bytes,gc_reserved_bytes,total_reserved_bytes,flashlight_pass_ms,blit_pass_ms
0,0.0007,1.4560,686.82,70,70,42,117604,74959,1238,45858816,878071100,0.0000,-1.0000
1,0.0019,1.1667,857.12,70,70,42,117604,74959,1238,45858816,878071100,0.0000,-1.0000
2,0.0031,1.1942,837.38,70,70,42,117604,74959,1302,45858816,878071100,0.0000,-1.0000
3,0.0043,1.1863,842.96,70,70,42,117604,74959,1238,45858816,878153020,0.0000,-1.0000
4,0.0055,1.2063,828.98,70,70,42,117604,74959,1238,45858816,878153020,0.0000,-1.0000
5,0.0067,1.1666,857.19,70,70,42,117604,74959,1238,45858816,878153020,0.0000,-1.0000
6,0.0079,1.2969,771.07,69,69,42,117603,74956,1238,45858816,878153020,0.0000,-1.0000
7,0.0095,1.2461,802.50,70,70,42,117604,74959,1238,45858816,878153020,0.0000,-1.0000
8,0.0107,1.5380,650.19,70,70,42,117604,74959,1606,45858816,878071100,0.0000,-1.0000
9,0.0119,1.1765,849.98,70,70,42,117604,74959,1238,45858816,878071100,0.0000,-1.0000
10,0.0131,1.1837,844.81,70,70,42,117604,74959,1238,45858816,878071100,0.0000,-1.0000
11,0.0145,1.3534,738.88,70,70,42,117604,74959,1238,45858816,878153020,0.0000,-1.0000
12,0.0157,1.2064,828.91,71,71,42,120052,78750,1238,45858816,878153020,0.0000,-1.0000
13,0.0170,1.3189,758.21,71,71,42,120052,78750,1238,45858816,878153020,0.0000,-1.0000
14,0.0181,1.1684,855.87,71,71,42,120052,78750,1238,45858816,878153020,0.0000,-1.0000
15,0.0195,1.1778,849.04,71,71,42,120052,78750,1270,45858816,878153020,0.0000,-1.0000
16,0.0207,1.3709,729.45,71,71,42,120052,78750,1238,45858816,878071100,0.0000,-1.0000
17,0.0219,1.1644,858.81,71,71,42,120052,78750,1238,45858816,878071100,0.0000,-1.0000
18,0.0231,1.1853,843.67,71,71,42,120052,78750,1270,45858816,878071100,0.0000,-1.0000
19,0.0246,1.5029,665.38,71,71,42,120052,78750,1238,45858816,878153020,0.0000,-1.0000
20,0.0259,1.3221,756.37,71,71,42,120052,78750,1238,45858816,878071100,0.0000,-1.0000
21,0.0273,1.3975,715.56,71,71,42,120052,78750,1238,45858816,878071100,0.0000,-1.0000
22,0.0286,1.2736,785.17,71,71,42,120052,78750,1238,45858816,878071100,0.0000,-1.0000
23,0.0298,1.2311,812.29,71,71,42,120052,78750,1238,45858816,878153020,0.0000,-1.0000
24,0.0309,1.1661,857.56,71,71,42,120052,78750,1238,45858816,878153020,0.0000,-1.0000
25,0.0321,1.1718,853.38,71,71,42,120052,78750,1238,45858816,878153020,0.0000,-1.0000
26,0.0334,1.2750,784.31,71,71,42,120052,78750,1238,45858816,878153020,0.0000,-1.0000
27,0.0346,1.2374,808.15,71,71,42,120052,78750,1238,45858816,878153020,0.0000,-1.0000
28,0.0360,1.3455,743.22,71,71,42,120052,78750,1238,45858816,878153020,0.0000,-1.0000
29,0.0372,1.2138,823.86,71,71,42,120052,78750,1238,45858816,878153020,0.0000,-1.0000
30,0.0385,1.2347,809.91,71,71,42,120052,78750,1238,45858816,878153020,0.0000,-1.0000
31,0.0401,1.2608,793.15,69,69,42,120028,78702,1238,45858816,878153020,0.0000,-1.0000
32,0.0418,1.9146,522.30,69,69,42,120028,78702,1238,45858816,878034444,0.0000,-1.0000
33,0.0432,1.5275,654.66,69,69,42,120028,78702,1606,45858816,877952524,0.0000,-1.0000
34,0.0446,1.3814,723.90,69,69,42,120028,78702,1238,45858816,877886988,0.0000,-1.0000
35,0.0459,1.3905,719.16,69,69,42,120028,78702,1238,45858816,878005564,0.0000,-1.0000
36,0.0471,1.2302,812.88,69,69,42,120028,78702,1238,45858816,878087484,0.0000,-1.0000
37,0.0485,1.3166,759.53,69,69,42,120028,78702,1310,45858816,878071100,0.0000,-1.0000
38,0.0497,1.2474,801.67,69,69,42,120028,78702,1238,45858816,878071100,0.0000,-1.0000
39,0.0509,1.2062,829.05,69,69,42,120028,78702,1238,45858816,878071100,0.0000,-1.0000
40,0.0521,1.1788,848.32,69,69,42,120028,78702,1238,45858816,878153020,0.0000,-1.0000
41,0.0532,1.1665,857.26,69,69,42,120028,78702,1238,45858816,878153020,0.0000,-1.0000
42,0.0545,1.2716,786.41,69,69,42,120028,78702,1238,45858816,878153020,0.0000,-1.0000
43,0.0557,1.1886,841.33,69,69,42,120028,78702,1238,45858816,878153020,0.0000,-1.0000
44,0.0569,1.1829,845.38,69,69,42,120028,78702,1238,45858816,878153020,0.0000,-1.0000
45,0.0581,1.2201,819.60,69,69,42,120028,78702,1238,45858816,878153020,0.0000,-1.0000
46,0.0594,1.1178,894.61,69,69,42,120028,78702,1238,45858816,878153020,0.0000,-1.0000
47,0.0605,1.2926,773.64,69,69,42,120028,78702,1238,45858816,878071100,0.0000,-1.0000
48,0.0616,1.1436,874.43,69,69,42,120028,78702,1238,45858816,878071100,0.0000,-1.0000
49,0.0628,1.1690,855.43,69,69,42,120028,78702,1238,45858816,878071100,0.0000,-1.0000
50,0.0640,1.1256,888.41,69,69,42,120028,78702,1238,45858816,878153020,0.0000,-1.0000
51,0.0651,1.1221,891.18,69,69,42,120028,78702,1238,45858816,878153020,0.0000,-1.0000
52,0.0662,1.1656,857.93,69,69,42,120028,78702,1238,45858816,878153020,0.0000,-1.0000
53,0.0674,1.1619,860.66,69,69,42,120028,78702,1238,45858816,878153020,0.0000,-1.0000
54,0.0686,1.1998,833.48,69,69,42,120028,78702,1238,45858816,878153020,0.0000,-1.0000
55,0.0698,1.1719,853.31,69,69,42,120028,78702,1238,45858816,878153020,0.0000,-1.0000
56,0.0710,1.2702,787.28,69,69,42,120028,78702,1238,45858816,878153020,0.0000,-1.0000
57,0.0723,1.2159,822.44,69,69,42,120028,78702,1238,45858816,878153020,0.0000,-1.0000
58,0.0735,1.2304,812.74,69,69,42,120028,78702,1238,45858816,878153020,0.0000,-1.0000
59,0.0748,1.1979,834.79,69,69,42,120028,78702,1238,45858816,878153020,0.0000,-1.0000
60,0.0764,1.6146,619.35,69,69,42,120028,78702,1238,45858816,878153020,0.0000,-1.0000
61,0.0776,1.3372,747.83,69,69,42,120028,78702,1238,45858816,878153020,0.0000,-1.0000
62,0.0789,1.2134,824.13,69,69,42,120028,78702,1238,45858816,878153020,0.0000,-1.0000
63,0.0803,1.2841,778.76,69,69,42,120028,78702,1238,45858816,878153020,0.0000,-1.0000
64,0.0815,1.4313,698.67,69,69,42,120028,78702,1238,45858816,878071100,0.0000,-1.0000
65,0.0828,1.2054,829.60,69,69,42,120028,78702,1238,45858816,878071100,0.0000,-1.0000
66,0.0839,1.1665,857.26,69,69,42,120028,78702,1238,45858816,878071100,0.0000,-1.0000
67,0.0853,1.1943,837.31,69,69,42,120028,78702,1238,45858816,878153020,0.0000,-1.0000
68,0.0867,1.5546,643.25,69,69,42,120028,78702,1606,45858816,878071100,0.0000,-1.0000
69,0.0879,1.1959,836.19,69,69,42,120028,78702,1238,45858816,878071100,0.0000,-1.0000
