frame,time_s,frame_ms,fps,draw_calls,batches,setpass_calls,triangles,vertices,gc_alloc_bytes,gc_reserved_bytes,total_reserved_bytes,flashlight_pass_ms,blit_pass_ms
0,0.0003,1.1072,903.18,78,78,45,138414,91007,1238,45858816,881981708,0.0169,-1.0000
1,0.0014,1.1293,885.51,78,78,45,138414,91007,1238,45858816,881981708,0.0169,-1.0000
2,0.0026,1.0983,910.50,78,78,45,138414,91007,1238,45858816,881981708,0.0169,-1.0000
3,0.0038,1.2547,797.00,78,78,45,138414,91007,1238,45858816,881981708,0.0169,-1.0000
4,0.0049,1.1315,883.78,78,78,45,138414,91007,1238,45858816,881981708,0.0169,-1.0000
5,0.0060,1.0994,909.59,78,78,45,138414,91007,1238,45858816,881981708,0.0169,-1.0000
6,0.0071,1.1163,895.81,78,78,45,138414,91007,1238,45858816,881981708,0.0169,-1.0000
7,0.0085,1.2046,830.15,78,78,45,138414,91007,1238,45858816,881981708,0.0169,-1.0000
8,0.0099,1.5359,651.08,78,78,45,138414,91007,1606,45858816,881899788,0.0169,-1.0000
9,0.0110,1.1217,891.51,78,78,45,138414,91007,1238,45858816,881899788,0.0169,-1.0000
10,0.0121,1.1093,901.47,78,78,45,138414,91007,1238,45858816,881899788,0.0169,-1.0000
11,0.0132,1.1297,885.19,78,78,45,138414,91007,1238,45858816,881981708,0.0169,-1.0000
12,0.0143,1.0989,910.00,78,78,45,138414,91007,1238,45858816,881981708,0.0169,-1.0000
13,0.0155,1.1368,879.66,78,78,45,138414,91007,1238,45858816,881981708,0.0169,-1.0000
14,0.0166,1.1161,895.98,78,78,45,138414,91007,1238,45858816,881981708,0.0169,-1.0000
15,0.0177,1.1377,878.97,78,78,45,138414,91007,1238,45858816,881981708,0.0169,-1.0000
16,0.0188,1.0915,916.17,78,78,45,138414,91007,1238,45858816,881981708,0.0169,-1.0000
17,0.0199,1.1101,900.82,78,77,45,138414,91007,1238,45858816,881981708,0.0169,-1.0000
18,0.0210,1.1056,904.49,78,78,45,138414,91007,1238,45858816,881981708,0.0169,-1.0000
19,0.0223,1.1301,884.88,78,78,45,138414,91007,1238,45858816,881981708,0.0169,-1.0000
